"Sample1"	"Sample10"	"Sample11"	"Sample12"	"Sample13"	"Sample14"	"Sample15"	"Sample16"	"Sample17"	"Sample18"	"Sample19"	"Sample2"	"Sample20"	"Sample21"	"Sample22"	"Sample23"	"Sample24"	"Sample25"	"Sample26"	"Sample27"	"Sample28"	"Sample29"	"Sample3"	"Sample30"	"Sample31"	"Sample32"	"Sample33"	"Sample34"	"Sample35"	"Sample36"	"Sample37"	"Sample38"	"Sample39"	"Sample4"	"Sample40"	"Sample41"	"Sample42"	"Sample43"	"Sample44"	"Sample45"	"Sample46"	"Sample47"	"Sample48"	"Sample49"	"Sample5"	"Sample50"	"Sample51"	"Sample52"	"Sample53"	"Sample54"	"Sample55"	"Sample56"	"Sample57"	"Sample58"	"Sample59"	"Sample6"	"Sample60"	"Sample61"	"Sample7"	"Sample8"	"Sample9"
"Clostridium.XlVa"	77	4	56	4	0	0	10	102	443	0	3	0	1	176	1320	0	14	24	16	0	21	45	35	0	13	75	0	7	11	9	0	8	15	12	2	0	0	3	44	129	0	0	5	9	32	0	38	0	6	35	4	70	16	499	2	103	10	1	105	6	25
"Clostridium.XlVb"	1589	2	13	0	3	0	959	826	297	2	5	48	0	13	13	0	12	18	0	0	83	8	96	0	41	295	1	2	3	20	0	0	7	4	28	17	0	47	0	3	0	47	57	0	210	28	492	0	0	0	0	14	21	455	3	411	16	6	420	129	13
"Clostridium.sensu.stricto"	0	613	95	0	252	21	3	22	217	18	282	0	456	0	0	351	0	24	122	0	91	25	28	0	0	160	86	0	6	96	67	1146	36	10	11	0	0	0	0	0	0	99	181	4	171	4	6	80	0	89	0	0	0	0	0	0	0	0	0	0	0
"Collinsella"	1118	4364	2563	2325	467	1857	1063	4	1	3441	913	3462	3208	0	424	6206	1750	4312	2342	818	3747	217	573	530	6	14	1944	1259	3	2	8	2	1908	417	3812	1924	9767	2355	1	13	4997	2840	3847	3729	2944	3167	983	3148	2447	2743	2182	1908	2	2	2830	1212	3170	6275	1575	4084	5819
"Coprobacillus"	2	4	118	10	0	2	3	29	5	0	0	0	0	10	4	18	29	8	11	2	95	44	0	4	1	2	0	0	5	0	22	3	0	15	2	2	3	0	0	0	0	8	10	1	188	0	0	0	102	234	21	0	10	1	0	70	0	0	0	5	42
"Coprococcus"	95	0	0	0	2	121	25	0	1	485	396	117	321	0	0	90	771	1113	182	11	2	0	41	0	0	0	346	115	19	17	2	0	86	3	337	1092	99	25	0	2	1	688	345	0	0	650	207	178	0	0	50	149	981	164	0	0	473	240	0	0	0
"Corynebacterium"	0	2	5	0	2	0	0	1	6	0	2	0	0	0	0	0	0	4	5	0	0	0	0	0	0	0	0	0	11	0	0	11	32	0	2	0	0	0	4	4	1	2	2	1	0	1	0	0	0	0	0	2	0	0	2	0	0	6	3	0	0
"Dialister"	558	3	1	0	17	0	64	41	1588	0	0	633	0	755	879	3	0	633	1547	47	26	24	0	60	1947	156	166	717	334	1131	4	3	155	21	4	0	0	0	0	3	0	0	0	216	0	42	33	14	16	818	0	12	3	0	11	5	692	0	4	5	2
"Dorea"	676	0	1	382	30	248	445	342	70	365	219	371	498	969	477	1072	1439	1120	119	105	27	199	741	174	231	42	68	601	444	266	98	238	625	25	336	728	716	412	5725	1649	98	996	683	1165	20	791	1681	366	1044	1187	37	248	238	1	391	1	1508	1021	989	978	576
"Eggerthella"	0	45	1323	294	21	5	296	8	0	5	6	3	28	319	80	263	157	214	284	68	289	2661	0	134	709	973	104	54	175	46	112	2248	112	86	24	2	0	27	120	0	186	7	11	337	139	122	0	7	212	259	34	0	448	361	92	337	33	3	267	347	170
"Eisenbergiella"	4	22	89	8	2	0	51	51	213	0	0	20	0	421	225	0	8	48	21	8	10	42	7	0	2	19	1	2	18	0	0	7	5	6	0	0	0	6	0	0	0	0	0	0	7	0	0	0	507	0	0	4	199	177	3	315	2	0	81	8	2
"Erysipelotrichaceae_incertae_sedis"	0	0	0	2	0	0	5	74	20	0	0	10	0	222	7	61	12	0	8	0	0	63	3	3	273	30	1	0	6	23	41	203	2	8	0	0	8	0	6	436	7	0	0	43	4	20	2	0	46	172	66	1	0	0	14	6	14	0	17	2	23
"Escherichia.Shigella"	250	0	1	19	7727	3	22	1012	1	11	7861	0	4441	156	268	49	280	0	2128	6	3	16	174	396	2052	21	5	4	8	2	7	0	7211	15	5	0	55	0	2154	222	106	112	1140	1155	0	75	3008	14	33	26	226	858	722	1160	0	219	0	215	967	526	1960
"Eubacterium"	9	4	3	4	14	0	0	31	84	2	1	279	0	0	0	8	0	0	12	6	180	0	4	0	887	593	0	3	0	0	24	145	6	108	0	0	3	0	0	0	0	0	0	15	374	5	0	2	54	0	0	2	2	1	0	258	0	3	27	14	11
"Faecalibacterium"	742	140	742	193	31	515	632	2328	83	5283	894	5562	840	4	0	581	2072	1331	1261	16	19	148	2454	69	27	587	3863	587	2696	5825	838	43	475	179	794	3509	775	1303	0	12	1	1936	806	345	16	1065	158	7209	2615	4640	69	1229	7725	4	745	42	1243	2326	3711	1220	660
"Flavonifractor"	24	2	154	57	0	2	82	123	33	3	0	101	0	205	447	2	46	48	103	4	90	498	23	0	90	1358	2	3	17	13	0	3	9	25	6	10	3	15	0	6	0	16	2	9	160	49	2	3	6	73	0	8	92	542	3	145	32	1	151	137	33
"Fusicatenibacter"	0	3	110	124	0	137	150	1	0	69	89	0	15	1652	334	0	656	1200	39	13	5	74	248	12	0	2	17	56	57	88	10	13	26	16	97	356	0	264	0	0	0	533	51	35	0	1405	508	69	11	442	0	24	394	708	1900	0	183	1	445	232	272
"Fusobacterium"	114	15	52	0	133	0	1	146	162	0	16	0	1	0	10	0	0	0	0	0	0	0	2	0	0	52	0	0	17	0	0	7	382	0	0	0	0	0	10	0	0	0	1	0	0	16	477	0	0	0	0	163	0	12	0	0	0	7	2	14	0
"Gemella"	0	22	50	0	137	0	2	29	40	4	46	0	26	2	3	36	0	8	8	12	2	7	9	3	2	63	14	0	0	0	10	39	216	5	3	0	32	0	44	0	6	0	29	2	0	6	89	6	10	0	12	31	10	52	4	0	3	38	10	2	0
"Gemmiger"	162	20	203	603	447	339	1148	88	1913	237	15	1721	243	0	0	238	180	82	135	14	2	0	515	0	3710	2645	529	1010	369	733	6262	1356	122	29	52	2069	393	257	0	14	659	3553	1252	0	0	1183	84	975	0	0	124	95	1	0	0	2	3289	247	0	2	0
"Gordonibacter"	0	29	33	33	0	0	57	37	0	4	5	46	47	0	0	66	10	27	38	2	80	404	4	51	0	50	0	28	18	0	0	108	24	82	11	0	0	14	0	0	10	0	0	134	137	47	0	44	81	55	0	0	104	5	53	0	12	0	3	22	20
"Granulicatella"	5	35	70	0	61	0	0	30	43	0	20	0	14	0	6	10	0	11	14	6	3	29	5	2	2	32	4	0	15	0	9	3	19	4	0	0	6	0	47	0	5	0	17	1	0	6	37	3	0	0	0	57	2	47	0	3	0	24	24	0	0
"Holdemania"	0	0	0	3	0	4	118	14	87	2	11	17	12	0	0	3	18	34	14	0	5	21	6	0	3	81	4	2	6	15	0	0	18	15	2	4	0	47	0	0	0	16	5	5	13	14	1	3	44	69	0	12	56	6	6	34	5	5	50	7	19
"Howardella"	0	0	0	0	25	26	0	13	0	235	55	0	211	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	47	35	0	11	11	0	0	71	23	0	0	0	0	0	0	0	0	0	0	0	0	0	52	57	0	0	0	0	0	39	94	148	96
"Hungatella"	4	0	33	2	0	2	10	20	0	4	102	3	1	112	434	0	12	7	29	0	33	10	5	0	2	14	0	0	10	2	0	0	6	3	0	26	0	6	0	0	0	3	1	0	77	0	1	0	4	13	3	3	8	89	0	435	11	0	4	1	3
"Intestinibacter"	0	4	210	6	0	0	0	0	0	71	38	0	5	190	139	352	5	234	1335	35	112	0	0	0	0	37	2	0	0	0	13	465	0	0	34	1	0	0	0	0	11	0	0	20	111	0	14	151	3	7	2	0	6	7	0	0	0	0	0	0	3
"Intestinimonas"	134	0	4	0	0	0	14	0	1	2	4	3	1	132	16	0	7	3	2	0	4	236	73	67	287	517	3	0	0	0	0	0	5	7	0	2	3	172	0	0	0	2	4	1	18	3	1	3	2	1	2	19	150	30	0	31	3	2	29	7	5
"Lachnospiracea_incertae_sedis"	6	483	0	186	180	186	143	0	0	138	45	39	308	163	112	1334	109	819	88	182	500	963	158	1151	2	49	1328	57	146	446	1683	1044	17	12	855	186	1134	279	0	0	0	104	6	777	3	576	167	535	0	60	1491	72	357	165	887	0	376	2380	52	92	198
"Lactobacillus"	0	0	0	2	0	4	0	3	0	0	0	0	0	0	8	122	1	0	12	0	27	48	3	24	9	19	1	0	6	0	26	5	0	5	3	0	0	0	21	3	15	21	26	1	0	2	31	4	2	1	5	2	2	14	3	2	0	5	2	0	26
"Lactococcus"	20	6	867	3	0	0	37	18	25	0	5	0	29	114	42	18	0	6	11	0	23	18	36	16	13	2	39	7	15	3	3325	3	40	3	29	3	40	6	0	5	39	2	20	29	28	1	53	8	26	10	0	3	4	609	2	129	14	0	32	3	19
"Lactonifactor"	0	0	4	12	11	0	3	0	0	2	0	2	17	0	0	2	0	3	2	3	5	5	0	2	0	2	0	0	4	2	0	32	0	2	0	0	0	4	0	0	0	0	4	0	5	1	0	0	5	2	0	1	7	5	0	0	0	0	0	6	3
"Megasphaera"	2	145	207	12	0	0	0	5	18	0	0	0	0	0	0	0	1200	0	0	0	0	14	0	0	0	0	0	0	2	0	4	0	0	6	0	0	0	0	95	2	0	0	0	332	0	0	140	0	200	3546	0	1	0	3	4	0	853	7	0	0	0
"Mogibacterium"	0	5	18	0	60	0	2	9	18	2	8	0	31	0	2	33	0	1	8	8	0	44	2	0	2	61	0	0	9	0	4	289	162	0	0	0	10	0	3	0	3	0	5	2	0	13	5	0	0	0	0	54	0	5	0	0	0	566	2	0	0
"Murimonas"	0	0	5	2	5	0	5	0	1	10	12	0	3	2	0	2	4	0	0	0	6	2	0	0	0	0	6	2	0	0	0	2	0	7	0	1	3	0	0	0	0	5	4	1	18	3	2	0	5	1	3	1	2	0	9	5	5	0	0	1	0
"Odoribacter"	307	0	64	0	0	2	114	236	26	7	28	7	0	0	0	0	13	0	0	0	2	0	34	0	0	0	0	0	2	9	0	0	11	7	3	15	0	12	0	8	0	0	0	2	6	0	32	2	0	16	0	40	0	0	0	47	3	3	170	46	18
"Oribacterium"	3	3	0	0	13	0	0	2	6	2	6	0	33	0	3	4	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	49	20	0	0	0	5	0	10	0	0	0	0	0	0	5	19	0	0	0	0	10	0	2	0	0	0	12	4	0	0
"Oscillibacter"	84	7	58	14	0	0	172	39	8	34	291	33	13	268	125	0	174	18	10	0	66	102	66	0	7	153	0	7	665	44	0	0	5	864	6	21	0	48	0	0	0	13	0	0	135	14	38	14	2	49	0	79	67	112	0	51	22	87	68	68	203
"Parabacteroides"	915	0	116	6	0	8	633	848	497	109	207	147	5	3	0	0	290	24	108	4	39	350	427	8	37	209	12	12	98	327	3	0	271	50	36	253	0	0	0	153	1	286	14	10	69	236	737	18	2	164	3	845	4	0	2	815	84	35	699	816	315
"Paraprevotella"	0	0	0	0	0	3	0	0	0	28	26	0	5	0	0	0	461	0	0	0	0	0	0	0	0	0	12	3	0	0	0	0	4	0	0	64	0	0	0	0	0	0	0	0	0	11	192	140	2	0	0	5	0	0	0	0	0	22	49	118	10
"Parasutterella"	9	0	76	2	0	0	65	251	29	78	55	0	0	0	0	0	151	151	504	42	0	0	0	3	70	391	4	0	162	139	0	0	38	0	6	43	0	232	0	0	0	14	3	45	0	52	8	4	0	8	27	47	0	0	40	2	294	10	43	12	2
"Parvimonas"	6	0	0	0	25	0	4	0	20	0	6	0	14	0	0	16	0	0	2	0	0	0	2	0	0	0	0	0	0	0	12	132	71	0	5	0	4	0	0	0	0	0	1	0	0	1	0	2	66	0	2	19	0	0	3	0	0	11	0	0	0
"Peptoniphilus"	0	0	0	0	0	0	15	0	7	0	0	0	1	0	0	0	0	3	0	0	0	0	0	3	86	0	0	9	0	0	0	2	2	0	0	7	0	0	0	0	2	5	0	9	0	4	0	0	3	0	13	139	17	0	0	12	0	6	4	8	4
"Peptostreptococcus"	0	0	0	0	65	0	5	3	18	0	37	0	4	0	0	2	0	0	2	2	0	2	0	0	0	10	0	2	0	0	0	349	43	0	2	0	4	0	0	0	0	0	1	2	0	0	2	0	0	0	3	28	0	0	0	9	0	5	0	1	3
"Phascolarctobacterium"	0	9	86	4	44	2	0	2	0	432	316	0	9	2	0	0	786	0	4	0	118	0	1534	5	0	0	0	4	0	0	2	0	304	194	17	179	0	318	0	1979	0	201	0	0	208	66	36	228	53	0	3	3603	790	1076	0	640	640	1566	813	334	228
"Prevotella"	6305	0	1	2	9	5	25	4	44	409	558	162	22	0	620	2	2	1	2	0	0	0	1203	0	20	0	9	6	2	0	0	0	0	14	0	656	8	0	0	0	0	0	0	1	5	0	6	0	0	0	12	6305	4	1	0	12	933	627	15	10	39
"Pseudoflavonifractor"	0	0	2	0	0	0	0	1	0	3	1	2	0	0	0	0	3	0	0	0	4	4	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	1	0	1	5	0	0	4	0	0	0	3	0
"Romboutsia"	0	0	107	16	0	44	0	10	0	120	1	10	103	0	0	252	10	93	0	0	60	3	0	0	2	0	860	0	299	130	426	0	2	47	43	16	2	12	0	0	11	41	0	0	160	0	11	96	11	97	0	0	0	0	39	3	53	0	0	13	0
"Roseburia"	299	376	86	466	0	89	1718	1804	771	590	404	2969	75	1195	1805	7	3852	2930	153	93	48	2	1721	21	85	317	175	313	5843	3383	66	558	518	65	242	4169	68	482	0	10	0	1920	382	810	92	528	2481	1513	4460	2904	6	698	1612	249	569	36	2021	106	327	1032	987
"Rothia"	3	18	12	0	56	0	0	8	24	7	12	0	25	0	0	74	0	3	7	4	5	10	11	2	1	15	1	0	36	3	2	17	28	21	0	0	33	0	146	112	11	2	66	1	0	3	9	0	69	0	2	63	0	9	0	1	0	59	27	0	18
"Ruminococcus"	16	0	0	29	2	51	2994	17	0	346	889	0	94	145	258	0	1	0	3	0	847	7	175	0	0	624	111	109	672	1507	756	0	29	443	404	841	3	1404	0	0	0	63	0	9	2072	12	0	310	21	0	295	99	442	0	2127	409	95	7	0	0	0
"Ruminococcus2"	88	889	4387	807	129	155	1577	49	5	898	879	420	241	585	159	773	3540	1087	164	127	160	30	645	9	796	804	594	423	1201	562	542	696	1013	56	178	1314	1510	870	1411	142	891	2346	2515	1608	335	1604	525	780	479	93	46	185	31	138	447	758	2551	2262	1754	799	107
"Slackia"	177	993	0	0	839	11	0	0	1	96	155	399	744	0	0	2	0	0	0	0	201	3	99	0	0	2	0	0	2	0	0	47	4	5	2	0	233	0	0	0	0	179	124	0	0	195	44	189	2	0	208	202	0	0	0	0	0	151	0	0	0
"Solobacterium"	2	0	22	0	71	0	4	7	36	2	22	0	31	0	0	18	1	2	43	9	0	98	2	0	6	63	0	0	14	0	5	251	258	0	12	0	47	0	7	0	6	0	0	0	0	5	7	0	2	0	2	23	5	13	7	0	0	2	2	0	0
"Sporobacter"	0	0	0	0	0	0	6	0	0	2	11	0	3	0	0	0	3	0	0	0	3	0	9	0	0	0	0	2	10	10	0	0	7	10	0	8	0	4	0	0	0	1	0	0	13	0	1	0	0	0	0	13	0	1	0	9	0	1	16	2	26
"Streptococcus"	1121	3166	3127	57	589	5	24	2973	1195	158	983	71	1881	148	6087	2642	93	2799	3369	272	2183	3981	2222	249	928	3243	318	18	2658	56	1285	2074	1262	648	135	3	2476	62	15343	1171	2025	918	3777	166	65	3720	3210	494	2301	104	87	2138	355	8007	1092	852	71	1019	2414	137	1155
"Subdoligranulum"	0	0	3	5	0	0	8	2	1	0	0	12	1	0	0	3	0	4	2	0	135	20	4	5	1	14	5	0	4	5	4	2	3	12	0	12	0	25	0	0	0	6	0	0	338	2	0	4	8	0	0	0	2	8	0	2	4	0	4	0	0
"Turicibacter"	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	298	2	4	0	0	34	2	0	16	1	0	0	2	5	0	171	0	0	16	17	0	0	0	0	0	3	44	0	135	80	0	0	91	130	26	0	0	0	0	6	1	0	4	0	3	0
"Unclassified.Actinobacteria.Class"	0	0	0	2	0	2	0	0	0	3	0	3	1	0	0	2	0	8	3	0	6	0	0	4	3	0	1	0	16	3	0	5	6	2	6	2	4	3	3	14	20	1	0	2	6	5	0	13	10	5	4	6	0	0	4	1	0	0	0	10	4
"Unclassified.Actinomycetaceae.Family"	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	4	0	2	2	0	0	1	0	1	0	8	0	0	18	10	0	0	0	2	0	2	0	0	0	0	0	0	0	1	0	0	0	0	3	1	4	0	0	0	2	2	0	0
"Unclassified.Actinomycetales.Order"	9	8	30	3	65	2	3	22	33	11	13	0	49	2	10	51	4	29	94	21	24	37	23	0	34	121	21	0	61	2	20	601	178	4	0	1	67	8	41	10	14	1	25	19	0	30	5	2	22	0	11	136	11	160	10	2	2	31	31	5	3
"Unclassified.Bacilli.Class"	2	11	23	4	3	4	1	11	5	0	5	2	6	0	17	17	1	10	22	2	8	16	9	0	5	16	4	3	7	0	8	22	19	4	0	0	10	0	44	3	8	7	24	1	0	16	18	2	21	0	0	9	2	37	8	5	0	10	6	0	10
"Unclassified.Bacteroidales.Order"	133	2	69	10	0	4	112	93	23	4	44	11	1	51	109	2	87	22	48	7	18	10	60	2	6	20	5	6	24	40	2	0	56	23	0	133	3	105	0	11	5	127	11	0	44	23	112	4	10	70	0	525	30	136	0	131	8	16	82	146	49
"Unclassified.Bacteroidetes.Phylum"	24	4	11	14	0	15	12	12	10	19	44	3	17	9	24	0	9	7	14	2	8	6	16	0	1	8	3	8	8	12	2	4	2	5	2	8	8	5	0	7	2	25	1	0	10	5	21	2	3	13	0	54	4	24	0	40	4	3	8	21	20
"Unclassified.Bifidobacteriaceae.Family"	4	77	21	263	6	166	1	81	37	383	0	211	2	3	86	29	2	496	42	11	455	3	13	167	877	15	0	15	704	496	4	7	320	12	291	106	7	55	54	848	1148	4	2	161	671	139	10	306	1581	282	9	56	5	3	88	154	28	0	10	1218	185
"Unclassified.Burkholderiales.Order"	11	0	0	4	0	0	0	1	0	0	0	2	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	2	0	2	3	0	2	0	3	0	2	0	0	0	0	1	0	0	0	2	0	0	0	1	0
"Unclassified.Carnobacteriaceae.Family"	0	3	10	0	5	0	0	2	4	0	0	0	2	0	1	0	0	2	1	0	0	9	3	0	0	7	0	0	0	0	0	0	7	0	0	0	0	0	8	0	2	0	1	0	0	1	8	0	0	0	0	13	3	5	0	0	0	7	3	0	0
"Unclassified.Clostridia.Class"	3	0	6	10	0	14	9	0	6	55	35	7	148	22	10	7	33	30	6	0	253	7	21	11	20	11	162	51	10	174	13	18	6	63	7	40	13	23	0	0	0	18	61	12	508	14	0	20	5	4	38	124	4	2	33	76	14	19	11	22	7
"Unclassified.Clostridiaceae.1.Family"	0	1439	211	0	640	0	2	60	571	35	660	0	1338	10	11	311	0	7	313	2	29	15	87	0	5	423	34	2	10	26	29	3373	151	10	5	0	0	0	8	0	0	296	292	2	40	13	17	19	0	21	0	0	0	0	0	0	0	0	0	0	0
"Unclassified.Clostridiales.Order"	378	546	826	539	397	465	1575	1205	733	1995	1747	507	2539	1610	741	2111	1276	1877	982	252	3189	1575	1553	1296	551	958	3170	928	1166	3440	1041	1087	1612	3959	437	3741	1109	2683	14	35	55	1038	876	827	3778	996	255	921	514	730	1553	2271	580	351	1067	3081	888	2430	721	806	1926
"Unclassified.Clostridiales_Incertae.Sedis.XIII.Family"	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	3	0	29	0	33	94	3	0	0	84	0	2	5	0	0	0	5	4	0	0	0	3	0	0	0	8	0	0	57	1	0	0	44	8	0	1	0	0	0	28	0	320	5	0	0
"Unclassified.Coriobacteriaceae.Family"	16	88	17	77	241	117	140	123	485	333	196	34	688	0	6	576	16	19	73	2	724	372	23	119	4	0	442	179	280	126	3	6	2026	49	310	752	307	195	0	3	13	147	48	57	268	320	3	148	173	139	460	105	2	3	112	612	67	201	40	113	263
"Unclassified.Enterobacteriaceae.Family"	179	2354	229	9	4716	11	20	1973	5526	14	4948	2	3010	133	612	272	187	1	2441	37	12	58	122	365	1441	1912	2	4	1220	3	11	1341	5581	135	6	2	33	0	2203	176	68	1296	8553	857	3	4658	3101	25	51	21	137	1766	614	2374	3	415	2	175	2301	422	1408
"Unclassified.Enterococcaceae.Family"	21	12	1	0	0	0	0	6	0	0	0	0	0	0	5	0	0	0	4	0	0	0	2	0	0	0	0	0	15	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	13	1	2	0	0	0	5	0	2	0	22	0	0	4	0	2
"Unclassified.Erysipelotrichaceae.Family"	82	4	146	408	325	232	845	41	233	208	52	2265	649	23	5	1956	642	9	6	8	164	1071	15	2024	766	422	2749	353	455	401	14	50	364	24	507	975	2274	53	13	16	2	4	27	4446	362	625	4	679	16	43	594	41	1107	63	1619	146	1263	278	167	248	168
"Unclassified.Firmicutes.Phylum"	122	88	322	74	235	370	200	133	77	1554	409	301	1190	140	181	306	331	635	202	50	1523	151	164	196	553	155	1618	220	436	848	429	615	171	1229	135	448	654	518	252	26	18	520	963	515	2220	424	142	598	115	309	717	887	133	169	467	574	517	680	349	225	362
"Unclassified.Gammaproteobacteria.Class"	4	2	0	4	31	5	0	6	8	0	27	0	16	2	0	0	0	0	21	0	0	0	0	6	6	4	0	0	2	0	0	6	33	0	0	0	0	0	12	0	0	5	14	6	0	6	34	0	0	0	0	3	5	15	0	2	0	0	8	4	8
"Unclassified.Lachnospiraceae.Family"	3447	1254	1896	887	586	392	1523	1851	3232	1856	3740	2675	1107	6802	6127	2421	3757	2681	697	336	3037	2498	1396	2278	6070	5117	2543	414	1379	1779	2476	3359	2140	1009	1033	2612	2192	1394	4845	1886	641	2037	1372	2025	5229	1974	4079	1096	2893	2695	1416	3825	3035	1893	2185	2796	3704	2783	1626	1677	1815
"Unclassified.Lactobacillaceae.Family"	9	3	1	0	4	0	0	4	0	0	0	0	0	0	16	442	0	0	20	0	72	114	10	8	21	58	1	0	15	0	21	29	0	5	7	1	0	2	0	3	1	47	126	0	0	0	0	24	5	0	2	0	2	23	2	3	3	247	0	0	0
